mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
1.425872726289180784e-02,2.807909999999999968e+02,2.680900000000000318e+02,2.599599999999999795e+02,2.542469999999999857e+02,2.506109999999999900e+02,2.490629999999999882e+02,2.492999999999999829e+02
2.717053003661280830e-02,3.175849999999999795e+02,2.949959999999999809e+02,2.811030000000000086e+02,2.716290000000000191e+02,2.652819999999999823e+02,2.615960000000000036e+02,2.600349999999999682e+02
4.008233281033381223e-02,3.564120000000000346e+02,3.232280000000000086e+02,3.031680000000000064e+02,2.896759999999999877e+02,2.804399999999999977e+02,2.744809999999999945e+02,2.710039999999999623e+02
5.299413558405480923e-02,3.967059999999999604e+02,3.525250000000000341e+02,3.260159999999999627e+02,3.083009999999999877e+02,2.960179999999999723e+02,2.876500000000000341e+02,2.821310000000000286e+02
6.590593835777582010e-02,4.379979999999999905e+02,3.826449999999999818e+02,3.495090000000000146e+02,3.274139999999999873e+02,3.119399999999999977e+02,3.010229999999999677e+02,2.933220000000000027e+02
7.881774113149832284e-02,4.799449999999999932e+02,4.133799999999999955e+02,3.735190000000000055e+02,3.469200000000000159e+02,3.281150000000000091e+02,3.144980000000000473e+02,3.044590000000000032e+02
9.172954390521932677e-02,5.223050000000000637e+02,4.445640000000000214e+02,3.979279999999999973e+02,3.667179999999999609e+02,3.444350000000000023e+02,3.279440000000000168e+02,3.153890000000000100e+02
1.046413466789403307e-01,5.649199999999999591e+02,4.760690000000000168e+02,4.226259999999999764e+02,3.866969999999999459e+02,3.607629999999999768e+02,3.411940000000000168e+02,3.259119999999999777e+02
1.175531494526613346e-01,6.076950000000000500e+02,5.077919999999999732e+02,4.475070000000000050e+02,4.067189999999999941e+02,3.769200000000000159e+02,3.540210000000000150e+02,3.357689999999999486e+02
1.304649522263823247e-01,6.505620000000000118e+02,5.396480000000000246e+02,4.724530000000000314e+02,4.266089999999999804e+02,3.926580000000000155e+02,3.661189999999999714e+02,3.446170000000000186e+02
1.433767550001048552e-01,6.934850000000000136e+02,5.715589999999999691e+02,4.973090000000000259e+02,4.461129999999999995e+02,4.076269999999999527e+02,3.770669999999999504e+02,3.520049999999999955e+02
1.562885577738258314e-01,7.364249999999999545e+02,6.034290000000000873e+02,5.218479999999999563e+02,4.648460000000000036e+02,4.213170000000000073e+02,3.862870000000000346e+02,3.573429999999999609e+02
1.692139662406702272e-01,7.793310000000000173e+02,6.351000000000000227e+02,5.456909999999999172e+02,4.822180000000000177e+02,4.329900000000000091e+02,3.929879999999999995e+02,3.598729999999999905e+02
1.821257690143912311e-01,8.221660000000000537e+02,6.662549999999999955e+02,5.681879999999999882e+02,4.972909999999999400e+02,4.415730000000000359e+02,3.961080000000000041e+02,3.586430000000000291e+02
1.950375717881122350e-01,8.648300000000000409e+02,6.962760000000000673e+02,5.881920000000000073e+02,5.085989999999999895e+02,4.455369999999999777e+02,3.942560000000000286e+02,3.525010000000000332e+02
2.079493745618332390e-01,9.069279999999999973e+02,7.238799999999999955e+02,6.036939999999999600e+02,5.138709999999999809e+02,4.427699999999999818e+02,3.856929999999999836e+02,3.401270000000000095e+02
2.208611773355557417e-01,9.474239999999999782e+02,7.463969999999999345e+02,6.112409999999999854e+02,5.097409999999999854e+02,4.305089999999999577e+02,3.683900000000000432e+02,3.201399999999999864e+02
2.337729801092767457e-01,9.835470000000000255e+02,7.584650000000000318e+02,6.051119999999999663e+02,4.915199999999999818e+02,4.054439999999999600e+02,3.402370000000000232e+02,2.912950000000000159e+02
2.466847828829977496e-01,1.006710000000000036e+03,7.496080000000000609e+02,5.765769999999999982e+02,4.533739999999999668e+02,3.641659999999999968e+02,2.994549999999999841e+02,2.527699999999999818e+02
2.595965856567187258e-01,9.964189999999998690e+02,7.014600000000000364e+02,5.142560000000000855e+02,3.894370000000000118e+02,3.041370000000000005e+02,2.452089999999999748e+02,2.045109999999999957e+02
2.725083884304397297e-01,9.081029999999999518e+02,5.880360000000000582e+02,4.072470000000000141e+02,2.962909999999999968e+02,2.250180000000000007e+02,1.782289999999999850e+02,1.475000000000000000e+02
