E_minus_EF_eV,QE_dosx_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_states_eV-1_cell-1,BoltzTraP2_DOS_broadened_states_eV-1_cell-1
-1.320000000000099760e+00,2.629485680125236868e+01,3.327373092522149278e+01,2.478231403440038960e+01
-1.300000000000100187e+00,2.385308131544867649e+01,2.175628612737832412e+01,2.302588954678455124e+01
-1.280000000000100613e+00,2.169995098825089030e+01,1.221807644907731039e+01,2.159506078392981721e+01
-1.260000000000101039e+00,2.008981162600320758e+01,1.648759744569752428e+01,2.060003047575482782e+01
-1.240000000000101466e+00,1.924789677795174825e+01,2.111739643595510785e+01,2.007952095363789269e+01
-1.220000000000101892e+00,1.922817806011365960e+01,1.009870035228226470e+01,1.998675768179932533e+01
-1.200000000000102318e+00,1.981635612022729376e+01,1.155926242161238271e+01,2.019596760030621851e+01
-1.180000000000102744e+00,2.060158966947341241e+01,3.020155579576118399e+01,2.053534561151801086e+01
-1.160000000000103171e+00,2.115037419032705301e+01,3.159981174843880325e+01,2.083401321001176143e+01
-1.140000000000103597e+00,2.122873806677106856e+01,2.215376780922382238e+01,2.097463321088364552e+01
-1.120000000000104023e+00,2.088836387644403203e+01,1.718828500261083292e+01,2.092247515324963913e+01
-1.100000000000104450e+00,2.037401807009981169e+01,2.674942599753709160e+01,2.072751406068967484e+01
-1.080000000000104876e+00,1.994528000332873674e+01,1.419304075560441269e+01,2.050036953349182411e+01
-1.060000000000105302e+00,1.980911225709810353e+01,1.786564220187261043e+01,2.037733125307826754e+01
-1.040000000000105729e+00,2.012509418699825758e+01,2.104247951417088203e+01,2.048239762197265534e+01
-1.020000000000106155e+00,2.101322579302918925e+01,2.049418911340764993e+01,2.089934457593083295e+01
-1.000000000000106581e+00,2.254135739906009661e+01,1.252538099448954512e+01,2.164931836191985326e+01
-9.800000000001070077e-01,2.460953545917360685e+01,2.163619383203949198e+01,2.268157573429883200e+01
-9.600000000001074341e-01,2.686607739573123510e+01,2.313990732976484210e+01,2.388106825580333847e+01
-9.400000000001078604e-01,2.876187095163489360e+01,1.690873451437189701e+01,2.509716554207618344e+01
-9.200000000001082867e-01,2.978383225376929744e+01,3.851047802024149291e+01,2.618678456222467332e+01
-9.000000000001087130e-01,2.976228903837876771e+01,5.087879856916101318e+01,2.705289748321927945e+01
-8.800000000001091394e-01,2.900541936557680245e+01,1.634499881417181300e+01,2.766064328364239344e+01
-8.600000000001095657e-01,2.807495226708453373e+01,1.632935787685654105e+01,2.802048366793286149e+01
-8.400000000001099920e-01,2.740878452085381412e+01,2.337014583037813509e+01,2.815203709289314560e+01
-8.200000000001104183e-01,2.709046709849230083e+01,3.940023582513146749e+01,2.805387143929386085e+01
-8.000000000001108447e-01,2.693046709849230069e+01,3.727817555771466118e+01,2.769842000057048992e+01
-7.800000000001112710e-01,2.668355097160769063e+01,2.604425108295018632e+01,2.705302442339201718e+01
-7.600000000001116973e-01,2.617144774955962205e+01,2.090094460036771196e+01,2.611027965395399875e+01
-7.400000000001121236e-01,2.528761549579042267e+01,3.564728780831985944e+01,2.491130799277190633e+01
-7.200000000001125500e-01,2.400378324202123537e+01,2.228180013065124854e+01,2.354783365349564761e+01
-7.000000000001129763e-01,2.240686711513667362e+01,2.038033732118398333e+01,2.214817089573993414e+01
-6.800000000001134026e-01,2.075770840395589545e+01,1.809183089816428591e+01,2.085380094336922596e+01
-6.600000000001138289e-01,1.936588646406934799e+01,1.383105433652599459e+01,1.979692647788216320e+01
