mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
4.723776660644968955e-02,3.726970000000000027e+02,3.388790000000000191e+02,3.189030000000000200e+02,3.040029999999999859e+02,2.909429999999999836e+02,2.786740000000000350e+02,2.668580000000000041e+02
6.014956938017068655e-02,4.131659999999999968e+02,3.681089999999999804e+02,3.411740000000000350e+02,3.214460000000000264e+02,3.048149999999999977e+02,2.897959999999999923e+02,2.758090000000000259e+02
7.306137215389169048e-02,4.544970000000000141e+02,3.978280000000000314e+02,3.634970000000000141e+02,3.385600000000000023e+02,3.180729999999999791e+02,3.001190000000000282e+02,2.838550000000000182e+02
8.598678062073607242e-02,4.962430000000000518e+02,4.275249999999999773e+02,3.852909999999999968e+02,3.547520000000000095e+02,3.301650000000000205e+02,3.091510000000000105e+02,2.905709999999999695e+02
9.889858339445707636e-02,5.378600000000000136e+02,4.563789999999999623e+02,4.056270000000000095e+02,3.691290000000000191e+02,3.402990000000000350e+02,3.162230000000000132e+02,2.954049999999999727e+02
1.118239918613014722e-01,5.783189999999999600e+02,4.828910000000000196e+02,4.229660000000000082e+02,3.803349999999999795e+02,3.473610000000000468e+02,3.204490000000000123e+02,2.976610000000000014e+02
1.247357946350224622e-01,6.151939999999999600e+02,5.041460000000000150e+02,4.347330000000000041e+02,3.863369999999999891e+02,3.498149999999999977e+02,3.206819999999999595e+02,2.964840000000000373e+02
1.376475974087434662e-01,6.421909999999999172e+02,5.144830000000000609e+02,4.367330000000000041e+02,3.842049999999999841e+02,3.456309999999999718e+02,3.155049999999999955e+02,2.908700000000000045e+02
1.505730058755878620e-01,6.438790000000000191e+02,5.035459999999999923e+02,4.226030000000000086e+02,3.700080000000000382e+02,3.323180000000000405e+02,3.032900000000000205e+02,2.797259999999999991e+02
1.634848086493103647e-01,5.867119999999999891e+02,4.549910000000000423e+02,3.839870000000000232e+02,3.391530000000000200e+02,3.071829999999999927e+02,2.823779999999999859e+02,2.619860000000000468e+02
1.764102171161532340e-01,4.200729999999999791e+02,3.505240000000000009e+02,3.128439999999999941e+02,2.875830000000000268e+02,2.679759999999999991e+02,2.514300000000000352e+02,2.368120000000000118e+02
1.893220198898757645e-01,1.275790000000000077e+02,1.853089999999999975e+02,2.069650000000000034e+02,2.140440000000000111e+02,2.139200000000000159e+02,2.099469999999999743e+02,2.038780000000000143e+02
2.022474283567201325e-01,-1.998259999999999934e+02,-1.341330000000000133e+01,7.623400000000000887e+01,1.225900000000000034e+02,1.468379999999999939e+02,1.588160000000000025e+02,1.636479999999999961e+02
2.151592311304411365e-01,-4.291829999999999927e+02,-1.938019999999999925e+02,-5.747760000000000247e+01,2.323390000000000200e+01,7.165130000000000621e+01,1.006199999999999903e+02,1.175609999999999928e+02
