mu_minus_EF_eV,S_300K_uV_K-1,S_400K_uV_K-1,S_500K_uV_K-1,S_600K_uV_K-1,S_700K_uV_K-1,S_800K_uV_K-1,S_900K_uV_K-1
9.444687140438803863e-02,4.942790000000000532e+02,4.044119999999999777e+02,3.479300000000000068e+02,3.096239999999999668e+02,2.823050000000000068e+02,2.620200000000000387e+02,2.463839999999999861e+02
1.073586741781090426e-01,5.369319999999999027e+02,4.360300000000000296e+02,3.728890000000000100e+02,3.301329999999999814e+02,2.996270000000000095e+02,2.769440000000000168e+02,2.594310000000000400e+02
1.202704769518307959e-01,5.797340000000000373e+02,4.678470000000000368e+02,3.980589999999999691e+02,3.508460000000000036e+02,3.171399999999999864e+02,2.920389999999999873e+02,2.726270000000000095e+02
1.331822797255517998e-01,6.226260000000000900e+02,4.998049999999999500e+02,4.233899999999999864e+02,3.717230000000000132e+02,3.348100000000000023e+02,3.072769999999999868e+02,2.859420000000000073e+02
1.460940824992735532e-01,6.655729999999999791e+02,5.318600000000000136e+02,4.488439999999999941e+02,3.927320000000000277e+02,3.526070000000000277e+02,3.226279999999999859e+02,2.993480000000000132e+02
1.590058852729945571e-01,7.085520000000000209e+02,5.639840000000000373e+02,4.743899999999999864e+02,4.138430000000000177e+02,3.705029999999999859e+02,3.380629999999999882e+02,3.128129999999999882e+02
1.719176880467155610e-01,7.515440000000000964e+02,5.961549999999999727e+02,5.000029999999999291e+02,4.350299999999999727e+02,3.884719999999999800e+02,3.535529999999999973e+02,3.263040000000000305e+02
1.848294908204373144e-01,7.945380000000000109e+02,6.283579999999999472e+02,5.256660000000000537e+02,4.562720000000000482e+02,4.064839999999999804e+02,3.690620000000000118e+02,3.397760000000000105e+02
1.977412935941583183e-01,8.375240000000000009e+02,6.605810000000000173e+02,5.513600000000000136e+02,4.775439999999999827e+02,4.245090000000000146e+02,3.845500000000000114e+02,3.531799999999999500e+02
2.106530963678800716e-01,8.805009999999999764e+02,6.928170000000000073e+02,5.770720000000000027e+02,4.988209999999999695e+02,4.425090000000000146e+02,3.999629999999999654e+02,3.664499999999999886e+02
2.235512934484784331e-01,9.234449999999999363e+02,7.250570000000000164e+02,6.027830000000000155e+02,5.200720000000000027e+02,4.604310000000000400e+02,4.152339999999999804e+02,3.795000000000000000e+02
2.364630962221994370e-01,9.663300000000000409e+02,7.572930000000000064e+02,6.284710000000000036e+02,5.412509999999999764e+02,4.782070000000000505e+02,4.302669999999999959e+02,3.922159999999999513e+02
2.493748989959204410e-01,1.009150000000000091e+03,7.895159999999999627e+02,6.540979999999999563e+02,5.622880000000000109e+02,4.957339999999999804e+02,4.449320000000000164e+02,4.044470000000000027e+02
2.622867017696421943e-01,1.051939999999999827e+03,8.216989999999999554e+02,6.796019999999999754e+02,5.830749999999999318e+02,5.128600000000000136e+02,4.590450000000000159e+02,4.159879999999999995e+02
2.751985045433631982e-01,1.094740000000000009e+03,8.538000000000000682e+02,7.048720000000000709e+02,6.034359999999999218e+02,5.293570000000000846e+02,4.723439999999999941e+02,4.265609999999999786e+02
2.881103073170849793e-01,1.137400000000000091e+03,8.857189999999999372e+02,7.297090000000000600e+02,6.230889999999999418e+02,5.448869999999999436e+02,4.844610000000000127e+02,4.357969999999999686e+02
3.010221100908059833e-01,1.179649999999999864e+03,9.172540000000000191e+02,7.537599999999999909e+02,6.415739999999999554e+02,5.589390000000000782e+02,4.948829999999999814e+02,4.432049999999999841e+02
3.139339128645269872e-01,1.221450000000000045e+03,9.479850000000000136e+02,7.763799999999999955e+02,6.581510000000000673e+02,5.707599999999999909e+02,5.028949999999999250e+02,4.481440000000000055e+02
3.268457156382487128e-01,1.262359999999999900e+03,9.769749999999999091e+02,7.964270000000000209e+02,6.716369999999999436e+02,5.792500000000000000e+02,5.075330000000000155e+02,4.498009999999999877e+02
3.397575184119697167e-01,1.301450000000000045e+03,1.002150000000000091e+03,8.118600000000000136e+02,6.801850000000000591e+02,5.828450000000000273e+02,5.075260000000000105e+02,4.471739999999999782e+02
3.526693211856914978e-01,1.335940000000000055e+03,1.019710000000000036e+03,8.191840000000000828e+02,6.809980000000000473e+02,5.794039999999999964e+02,5.012769999999999300e+02,4.390919999999999845e+02
3.655811239594125017e-01,1.356809999999999945e+03,1.021540000000000077e+03,8.126630000000000109e+02,6.700679999999999836e+02,5.661760000000000446e+02,4.869070000000000391e+02,4.242800000000000296e+02
3.784929267331335057e-01,1.340190000000000055e+03,9.929739999999999327e+02,7.835729999999999791e+02,6.421470000000000482e+02,5.399329999999999927e+02,4.624100000000000250e+02,4.014859999999999900e+02
3.914047295068552312e-01,1.205759999999999991e+03,9.105779999999999745e+02,7.205440000000000964e+02,5.912950000000000728e+02,4.974289999999999736e+02,4.259630000000000223e+02,3.696810000000000400e+02
4.043165322805762352e-01,8.284149999999999636e+02,7.462269999999999754e+02,6.123500000000000227e+02,5.124080000000000155e+02,4.361920000000000073e+02,3.763509999999999991e+02,3.282849999999999682e+02
4.172283350542980163e-01,1.156620000000000061e+02,4.855360000000000014e+02,4.536140000000000327e+02,4.034099999999999682e+02,3.554720000000000368e+02,3.133930000000000291e+02,2.773709999999999809e+02
4.301401378280190202e-01,-6.868479999999999563e+02,1.490349999999999966e+02,2.505429999999999779e+02,2.671220000000000141e+02,2.569259999999999877e+02,2.382220000000000084e+02,2.177750000000000057e+02
